Term,Definitions
Venus,The second planet from the sun in our solar system.
Version,"Indicates the release identifier. When used to indicate
								the release of the SPASE data model, it is a in the form Major.Minor.Fix where Major: A
								significant change in the architecture of the model or rewrite of the implementation.
								This includes major changes in design or implementation language. This number starts at
								0 (zero). Minor: An addition of terms or features that require changes in
								documentation/external API. This number starts at 0 (zero). Fix: Any change that doesn't
								require documentation/external API changes. This number starts at 0 (zero)."
Vertical,Perpendicular to the plane of the horizon or a base line.
VolumeEmissionRate,"The volume emission rate, e(r, t, l), is the number of
								photons emitted per unit source volume per second, i.e. photons/(m3 s), as measured
								along the line of sight between the source point and the observer. The Volume Emission
								Rate is in general a function of the line-ofsight distance, r, time, t, and wavelength,
								l. The Volume Emission Rate is actually not a directly measurable quantity. However, the
								term has been commonly used in both data product descriptions and research publications."
VOTable,"A proposed IVOA standard designed as a flexible storage
								and exchange format for tabular data."
VSO,"Venus Solar Orbital - A coordinate system related to
								Venus where X is anti-sunward, Y along the orbital velocity direction."
Wave,"Periodic or quasi-periodic (AC) variations of physical
								quantities in time and space, capable of propagating or being trapped within particular
								regimes."
WaveForm,"Spatial or temporal variations of wave amplitude over
								wave-period timescales."
WaveformReceiver,"A radio receiver which outputs the value of one or more
								components of the electric and/or magnetic field as a function of time."
Wavelength,The peak-to-peak distance over one wave period.
WavelengthRange,The range of possible values for the observed wavelength.
WaveQuantity,A characterization of the physical properties of a wave.
Waves,"Data resulting from observations of wave experiments and
								natural wave phenomena. Wave experiments are typically active and natural wave phenomena
								are passive. Examples of wave experiments include coherent/incoherent scatter radars,
								radio soundings, VLF propagation studies, ionospheric scintillation of beacon satellite
								signals, etc. Examples of natural wave phenomena include micropulsations, mesospheric
								gravity waves, auroral/plasmaspheric hiss, Langmuir waves, AKR, Jovian decametric
								radiation, solar radio bursts, etc."
WaveType,"A characterization of the carrier or phenomenon of wave
								information observed by the measurement."
Weak,"Slightly likely given the available evidence. Considered
								in the range of 1-4 on a scale of 0-10."
WebService,"A Web-based service that uses SOAP, WSDL or UDDI open
								standards."
WGS84,"The World Geodetic System (WGS) defines a reference frame
								for the earth, for use in geodesy and navigation. The WGS84 uses the zero meridian as
								defined by the Bureau International de l'Heure."
WhiteLight,"Photons with a wavelength in the visible range for
								humans."
WhitePaper,"An authoritative report giving information or proposals
								on an issue."
XML,"eXtensible Mark-up Language (XML). A structured format
								for representing information. See <http://www.w3.org/XML/>"
XRays,"Photons with a wavelength range: 0.001 <= x < 10
								nm."
ZIP,"An open standard for compression which is a variation of
								the LZW method and was originally used in the PKZIP utility."
